#BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Publication Source,Organism ID Interactor A,Organism ID Interactor B,Throughput,Score,Modification,Qualifications,Tags,Source Database,SWISS-PROT Accessions Interactor A,TREMBL Accessions Interactor A,REFSEQ Accessions Interactor A,SWISS-PROT Accessions Interactor B,TREMBL Accessions Interactor B,REFSEQ Accessions Interactor B,Ontology Term IDs,Ontology Term Names,Ontology Term Categories,Ontology Term Qualifier IDs,Ontology Term Qualifier Names,Ontology Term Types,Organism Name Interactor A,Organism Name Interactor B
1161,2033,7020,108347,112878,RP1-85F18.1,RP1-290I10.1,EP300,TFAP2A,KAT3B|RSTS2|p300,AP-2|AP-2alpha|AP2TF|BOFS|TFAP2,Two-hybrid,physical,Braganca J (2003),PUBMED:12586840,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q09472,Q7Z6C1,NP_001349772|NP_001420,P05549,-,NP_001358995|NP_001035890|NP_003211|NP_001027451,-,-,-,-,-,-,Homo sapiens,Homo sapiens
1206,338,4547,106835,110641,-,-,APOB,MTTP,FLDB|LDLCQ4,ABL|MTP,Two-hybrid,physical,Bradbury P (1999),PUBMED:9915855,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P04114,Q59HB3|Q7Z7Q0,NP_000375,P55157,B7Z7X3|E9PBP6,NP_001287714|NP_000244,-,-,-,-,-,-,Homo sapiens,Homo sapiens
1427,409,5900,106902,111836,-,RP11-326L24.1,ARRB2,RALGDS,ARB2|ARR2|BARR2,RGDS|RGF|RalGEF,Two-hybrid,physical,Bhattacharya M (2002),PUBMED:12105416,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P32121,K7ENA6|Q68DZ5|Q59EM5,NP_001244257|NP_001244259|NP_001244258|NP_001316993|NP_001244260|NP_004304|NP_945355,Q12967,Q8N4Y1,NP_006257|NP_001258703|NP_001258705|NP_001258704|NP_001035827,-,-,-,-,-,-,Homo sapiens,Homo sapiens
1611,1436,2885,107823,109142,-,-,CSF1R,GRB2,C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R,ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2,Two-hybrid,physical,Mancini A (1997),PUBMED:9380408,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P07333,A2VDG3,NP_005202|NP_001275634,P62993,B0LPF3,NP_002077|NP_987102,-,-,-,-,-,-,Homo sapiens,Homo sapiens
1695,7916,2885,113646,109142,DADB-70P7.5,-,PRRC2A,GRB2,BAT2|D6S51|D6S51E|G2,ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2,Two-hybrid,physical,Lehner B (2004),PUBMED:14667819,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P48634,-,NP_542417|NP_004629,P62993,B0LPF3,NP_002077|NP_987102,-,-,-,-,-,-,Homo sapiens,Homo sapiens
1783,27257,4677,118104,110758,-,-,LSM1,NARS,CASM|YJL124C,ASNRS|NARS1,Two-hybrid,physical,Lehner B (2004),PUBMED:15231747,9606,9606,High Throughput,-,-,-,-,BIOGRID,O15116,-,NP_055277,O43776,-,NP_004530,-,-,-,-,-,-,Homo sapiens,Homo sapiens
1888,6521,22950,112412,116605,-,HLC3,SLC4A1,SLC4A1AP,AE1|BND3|CD233|DI|EMPB3|EPB3|FR|RTA1A|SW|WD|WD1|WR,-,Two-hybrid,physical,Chen J (1998),PUBMED:9422766,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P02730,-,NP_000333,Q9BWU0,-,NP_060628,-,-,-,-,-,-,Homo sapiens,Homo sapiens
1958,602,580,107074,107056,-,-,BCL3,BARD1,BCL4|D19S37,-,Two-hybrid,physical,Dechend R (1999),PUBMED:10362352,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P20749,-,NP_005169,Q99728,F6MDI1|F6MDI2|A0A087WZ19|A0A087X2H0|F6MDI0|A0AVN2,NP_001269478|NP_000456|NP_001269472|NP_001269474|NP_001269477,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2006,153,10755,106662,115978,-,-,ADRB1,GIPC1,ADRB1R|B1AR|BETA1AR|RHR,C19orf3|GIPC|GLUT1CBP|Hs.6454|IIP-1|NIP|RGS19IP1|SEMCAP|SYNECTIIN|SYNECTIN|TIP-2,Two-hybrid,physical,Hu LA (2003),PUBMED:12724327,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P08588,-,NP_000675,O14908,A0A024R7I0|A0A024R7I1|A8K2I7,NP_005707|NP_974197|NP_974223|NP_974198|NP_974199,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2368,672,466,107140,106956,-,-,BRCA1,ATF1,BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53,EWS-ATF1|FUS/ATF-1|TREB36,Two-hybrid,physical,Houvras Y (2000),PUBMED:10945975,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P38398,E9PFZ0|A0A024R1V0,NP_009229|NP_009228|NP_009230|NP_009231|NP_009225,P18846,-,NP_005162,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2398,672,4436,107140,110573,-,-,BRCA1,MSH2,BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53,COCA1|FCC1|HNPCC|HNPCC1|LCFS2,Two-hybrid,physical,Wang Q (2001),PUBMED:11498787,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P38398,E9PFZ0|A0A024R1V0,NP_009229|NP_009228|NP_009230|NP_009231|NP_009225,P43246,E9PHA6,NP_000242|NP_001245210,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2411,672,580,107140,107056,-,-,BRCA1,BARD1,BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53,-,Two-hybrid,physical,Wu LC (1996),PUBMED:8944023,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P38398,E9PFZ0|A0A024R1V0,NP_009229|NP_009228|NP_009230|NP_009231|NP_009225,Q99728,F6MDI1|F6MDI2|A0A087WZ19|A0A087X2H0|F6MDI0|A0AVN2,NP_001269478|NP_000456|NP_001269472|NP_001269474|NP_001269477,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2424,672,2956,107140,109211,-,-,BRCA1,MSH6,BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53,GTBP|GTMBP|HNPCC5|HSAP|p160,Two-hybrid,physical,Wang Q (2001),PUBMED:11498787,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P38398,E9PFZ0|A0A024R1V0,NP_009229|NP_009228|NP_009230|NP_009231|NP_009225,P52701,Q3SWU9,NP_000170|NP_001268421|NP_001268422|NP_001268423,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2466,421,1013,106914,107448,-,-,ARVCF,CDH15,-,CDH14|CDH3|CDHM|MCAD|MRD3,Two-hybrid,physical,Kaufmann U (2000),PUBMED:11058098,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O00192,C9JJX6|E9PDC3,NP_001661,P55291,-,NP_004924,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2721,5092,775,111125,107229,-,-,PCBD1,CACNA1C,DCOH|PCBD|PCD|PHS,CACH2|CACN2|CACNL1A1|CCHL1A1|CaV1.2|LQT8|TS,Two-hybrid,physical,Waters PJ (2001),PUBMED:11461190,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P61457,-,NP_000272|NP_001309933|NP_001276726,Q13936,Q59GU3|Q5V9X9,NP_955630|NP_001161097|NP_001161096|NP_001161095|NP_001123312|NP_001123313|NP_001123310|NP_001123311|NP_001123316|NP_001123314|NP_001123315|NP_001123318|NP_000710|NP_001123299|NP_001123309|NP_001123308|NP_001123305|NP_001123304|NP_001123307|NP_001123306|NP_001123301|NP_001123303|NP_001123302,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2765,5664,823,111643,107273,-,PIG30,PSEN2,CAPN1,AD3L|AD4|CMD1V|PS2|STM2,CANP|CANP1|CANPL1|muCANP|muCL,Two-hybrid,physical,Shinozaki K (1998),PUBMED:9852298,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P49810,-,NP_036618|NP_000438,P07384,B2RDI5|B4DWH5,NP_001185798|NP_005177|NP_001185797,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2785,825,7273,107275,113124,-,-,CAPN3,TTN,CANP3|CANPL3|LGMD2|LGMD2A|nCL-1|p94,CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD,Two-hybrid,physical,Ono Y (1998),PUBMED:9642272,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P20807,-,NP_000061|NP_775113|NP_775112|NP_775111|NP_775110|NP_077320,Q8WZ42,Q7Z3B7,NP_001243779|NP_596870|NP_596869|NP_597681|NP_003310|NP_001254479|NP_597676,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2827,3708,767,109913,107222,-,-,ITPR1,CA8,ACV|CLA4|INSP3R1|IP3R|IP3R1|PPP1R94|SCA15|SCA16|SCA29,CA-VIII|CALS|CAMRQ3|CARP,Two-hybrid,physical,Hirota J (2003),PUBMED:12611586,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q14643,Q59H91|B4DER3|B4DGH1,NP_001365381|NP_001093422|NP_001161744|NP_002213,P35219,-,NP_001308766|NP_001308767|NP_001308768|NP_004047,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3024,9223,1499,114655,107880,RP11-88H12.2,OK/SW-cl.35,MAGI1,CTNNB1,AIP-3|AIP3|BAIAP1|BAP-1|BAP1|MAGI-1|Magi1d|TNRC19|WWP3,CTNNB|MRD19|armadillo,Two-hybrid,physical,Dobrosotskaya IY (2000),PUBMED:10772923,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q96QZ7,-,NP_056335|NP_001028229|NP_004733,P35222,B4DGU4|A0A024R2Q3,NP_001091680|NP_001091679|NP_001895|NP_001317658,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3189,5925,1523,111860,107903,RP11-174I10.1,-,RB1,CUX1,OSRC|PPP1R130|RB|p105-Rb|pRb|pp110,CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75,Two-hybrid,physical,Gupta S (2003),PUBMED:12891711,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P06400,A0A024RDV3,NP_000312,Q13948|P39880,Q3LIA3,NP_001189473|NP_001189472|NP_001904|NP_001189475|NP_001189474|NP_853530|NP_852477,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3224,7251,1026,113102,107460,-,-,TSG101,CDKN1A,TSG10|VPS23,CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1,Two-hybrid,physical,Oh H (2002),PUBMED:11943869,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q99816,-,NP_006283,P38936,A0A024RCX5,NP_001361441|NP_000380|NP_001361440|NP_001361442|NP_001361439|NP_001361438|NP_001278478|NP_510867|NP_001207706|NP_001207707,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3312,4998,4171,111040,110339,-,-,ORC1,MCM2,HSORC1|ORC1L|PARC1,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,Q13415,Q96F82|B7Z8H0,NP_001177747|NP_001177748|NP_004144,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3313,5000,4171,111042,110339,-,-,ORC4,MCM2,ORC4L|ORC4P,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,O43929,A8K7H4|Q96B14,NP_859525|NP_001361201|NP_859526|NP_002543|NP_001361199|NP_001177810|NP_001177811|NP_001177808,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3315,4174,4171,110342,110339,RP5-824I19__A.1,-,MCM5,MCM2,CDC46|P1-CDC46,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,P33992,B1AHB0,NP_006730,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3317,8317,4171,113914,110339,-,-,CDC7,MCM2,CDC7L1|HsCDC7|Hsk1|huCDC7,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,O00311,B2R6V2,NP_003494|NP_001127891|NP_001127892,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3324,4999,4171,111041,110339,-,-,ORC2,MCM2,ORC2L,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,Q13416,A0A024R411,NP_006181,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3325,6118,4171,112038,110339,RP4-547C9.3,-,RPA2,MCM2,REPA2|RP-A p32|RP-A p34|RPA32,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,P15927,B4DUL2,NP_001342057|NP_002937|NP_001284487|NP_001342058|NP_001273005,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3326,10926,4171,116129,110339,-,-,DBF4,MCM2,ASK|CHIF|DBF4A|ZDBF1,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,Q9UBU7,B7Z8C6,NP_006707,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3329,10270,4171,115561,110339,-,-,AKAP8,MCM2,AKAP 95|AKAP-8|AKAP-95|AKAP95,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Eide T (2003),PUBMED:12740381,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O43823,-,NP_005849,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3330,4171,4171,110339,110339,-,-,MCM2,MCM2,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,P49736,-,NP_004517,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3331,6117,4171,112037,110339,-,-,RPA1,MCM2,HSSB|MST075|REPA1|RF-A|RP-A|RPA70,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,P27694,-,NP_002936|NP_001342049|NP_001342050,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3332,6119,4171,112039,110339,-,-,RPA3,MCM2,REPA3,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,P35244,A4D105,NP_002938,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3338,5001,4171,111043,110339,-,-,ORC5,MCM2,ORC5L|ORC5P|ORC5T|PPP1R117,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,O43913,A4D0P7|Q53FC8,NP_002544|NP_859531,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3339,4172,4171,110340,110339,RP1-108C2.3,-,MCM3,MCM2,HCC5|P1-MCM3|P1.h|RLFB,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,P25205,B4DUQ9|J3KQ69,NP_001353300|NP_001353301|NP_001353302|NP_001353303|NP_001353304|NP_001257401|NP_002379|NP_001353298|NP_001353299,P49736,-,NP_004517,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3381,7534,993,113366,107428,-,-,YWHAZ,CDC25A,14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD,CDC25A2,Two-hybrid,physical,Wang Z (2002),PUBMED:11912208,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P63104,D0PNI1,NP_003397|NP_001129174|NP_001129171|NP_001129172|NP_001129173|NP_663723,P30304,D8KXX0|A0A024R2R6|A0A024R2S4|K7N7S0,NP_001780|NP_963861,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3485,81704,998,123577,107433,RP11-165F24.7,RP1-224A6.5,DOCK8,CDC42,HEL-205|MRD2|ZIR8,CDC42Hs|G25K,Two-hybrid,physical,Ruusala A (2004),PUBMED:15304341,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q8NF50,E2J6M5|E2J6M6,NP_982272|NP_001177387|NP_001180465,P60953,A0A024RAE4|A0A024RAE6,NP_426359|NP_001782|NP_001034891,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3532,9322,998,114733,107433,-,RP1-224A6.5,TRIP10,CDC42,CIP4|HSTP|STOT|STP|TRIP-10,CDC42Hs|G25K,Two-hybrid,physical,Aspenstroem P (1997),PUBMED:9210375,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q15642,W4VSQ9,NP_001275892|NP_001275891|NP_004231,P60953,A0A024RAE4|A0A024RAE6,NP_426359|NP_001782|NP_001034891,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3546,1033,1017,107467,107452,-,-,CDKN3,CDK2,CDI1|CIP2|KAP|KAP1,CDKN2|p33(CDK2),Two-hybrid,physical,Yeh CT (2003),PUBMED:12745075,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q16667,F5H232,NP_001317102|NP_001124323|NP_005183,P24941,A0A024RB77|A0A024RB10|B4DDL9|E7ESI2,NP_001789|NP_439892|NP_001277159,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3626,5932,5933,111867,111868,-,RP11-382A12.1,RBBP8,RBL1,COM1|CTIP|JWDS|RIM|SAE2|SCKL2,CP107|PRB1|p107,Two-hybrid,physical,Fusco C (1998),PUBMED:9721205,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q99708,A0A024RC34,NP_976037|NP_976036|NP_002885,P28749,-,NP_899662|NP_002886,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3639,9464,1059,114850,107488,-,-,HAND2,CENPB,DHAND2|Hed|Thing2|bHLHa26|dHand,-,Two-hybrid,physical,Dai YS (2002),PUBMED:11812799,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P61296,-,NP_068808,P07199,-,NP_001801,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3830,1213,9146,107623,114593,-,-,CLTC,HGS,CHC|CHC17|CLH-17|CLTCL2|Hc,HRS,Two-hybrid,physical,Raiborg C (2001),PUBMED:11532964,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q00610,A0A087WVQ6,NP_001275582|NP_004850,O14964,-,NP_004703,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3948,3486,1277,109707,107674,tcag7.703,-,IGFBP3,COL1A1,BP-53|IBP3,OI4,Two-hybrid,physical,Liu B (2003),PUBMED:12735930,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P17936,B3KPF0,NP_000589|NP_001013416,P02452,-,NP_000079,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3956,7295,1277,113146,107674,RP11-427L11.1,-,TXN,COL1A1,TRDX|TRX|TRX1,OI4,Two-hybrid,physical,Matsumoto K (2002),PUBMED:12099690,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P10599,H9ZYJ2,NP_003320|NP_001231867,P02452,-,NP_000079,-,-,-,-,-,-,Homo sapiens,Homo sapiens
4454,1386,4088,107776,110263,-,-,ATF2,SMAD3,CRE-BP1|CREB-2|CREB2|HB16|TREB7,HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3,Two-hybrid,physical,Sano Y (1999),PUBMED:10085140,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P15336,A4D7V5,NP_001243023|NP_001243022|NP_001243021|NP_001871|NP_001243020|NP_001243019,P84022,Q9P0T0|A0A024R5Z3,NP_001138576|NP_001138574|NP_001138575|NP_005893,-,-,-,-,-,-,Homo sapiens,Homo sapiens
